2015/04/04,39,26,44,45,29,12,09,19
2015/04/02,38,04,42,37,12,20,47,35
2015/03/31,37,27,46,10,36,02,05,07
2015/03/28,36,37,11,16,29,06,30,34
2015/03/26,35,39,06,02,09,49,16,29
2015/03/24,34,42,37,02,05,44,13,27
2015/03/22,33,26,34,38,07,33,30,05
2015/03/19,32,31,30,43,15,17,12,46
2015/03/17,31,01,11,05,47,34,23,14
2015/03/14,30,29,04,21,37,25,32,27
2015/03/12,29,23,14,25,37,24,17,34
2015/03/10,28,22,45,01,27,48,18,25
2015/03/07,27,32,08,49,06,16,12,37
2015/03/05,26,10,38,20,2,6,40,46
2015/03/03,25,17,25,46,27,13,49,19
2015/02/28,24,23,06,09,43,25,41,38
2015/02/26,23,22,20,25,33,12,10,27
2015/02/24,22,48,17,32,28,33,18,37
2015/02/22,21,42,46,29,28,15,20,35
2015/02/17,20,14,22,28,33,44,46,25
2015/02/14,19,02,10,12,21,25,35,26
2015/02/12,18,07,09,10,14,22,31,35
2015/02/10,17,02,17,23,30,34,41,14
2015/02/08,16,17,18,5,7,27,48,30
2015/02/05,15,22,18,17,13,16,45,10
2015/02/03,14,49,43,11,36,47,34,21
2015/01/31,13,46,47,14,7,17,5,27
2015/01/29,12,29,25,32,6,15,46,9
2015/01/27,11,05,10,13,28,35,04,12
2015/01/24,10,18,17,26,20,32,31,6
2015/01/22,09,42,30,46,8,21,16,32
2015/01/20,08,29,13,9,15,5,7,47
2015/01/17,07,27,14,25,15,30,16,11
2015/01/15,06,14,49,1,43,2,37,24
2015/01/13,05,37,40,43,21,27,16,14
2015/01/11,04,47,21,10,40,24,33,05
2015/01/08,03,8,28,44,18,37,19,13
2015/01/06,02,14,16,18,3,49,38,29
2015/01/03,01,44,42,15,35,08,31,39
2014/12/31,152,32,37,19,25,33,10,27
2014/12/29,151,01,40,30,39,25,33,07
2014/12/27,150,28,15,31,32,14,48,40
2014/12/25,149,19,47,24,46,12,43,30
2014/12/23,148,35,01,47,12,04,14,33
2014/12/21,147,43,36,37,25,30,02,22
2014/12/18,146,08,10,25,06,29,21,33
2014/12/16,145,1,42,31,7,14,34,16
2014/12/13,144,12,17,48,20,14,40,19
2014/12/11,143,32,7,11,35,13,39,31
2014/12/09,142,41,3,13,4,29,31,46
2014/12/06,141,21,17,40,18,25,48,16
2014/12/04,140,1,20,33,27,36,8,35
2014/12/02,139,47,27,4,13,49,1,33
2014/11/29,138,33,37,7,26,29,32,31
2014/11/27,137,2,45,22,20,40,30,44
2014/11/25,136,47,6,44,41,35,42,19
2014/11/22,135,12,27,32,17,33,2,44
2014/11/20,134,33,16,8,46,19,35,12
2014/11/18,133,17,2,6,37,49,24,46
2014/11/16,132,34,33,15,43,32,7,10
2014/11/13,131,36,49,21,42,41,46,6
2014/11/11,130,5,49,9,3,48,19,26
2014/11/8,129,7,8,32,15,34,39,43
2014/11/6,128,29,4,12,14,48,10,3
2014/11/4,127,38,30,23,16,29,37,33
2014/11/1,126,20,44,26,9,10,11,31
2014/10/30,125,49,36,3,47,29,19,33
2014/10/28,124,30,37,16,47,26,43,31
2014/10/25,123,40,39,41,13,1,43,18
2014/10/23,122,11,29,28,41,14,37,19
2014/10/21,121,29,6,18,34,17,9,42
2014/10/18,120,19,47,22,12,40,36,25
2014/10/16,119,34,39,48,4,49,9,18
2014/10/14,118,8,5,17,37,1,20,33
2014/10/11,117,37,29,35,26,34,47,8
2014/10/9,116,12,2,23,46,40,14,39
2014/10/7,115,49,33,42,12,13,26,48
2014/10/4,114,5,45,14,24,27,22,8
2014/10/2,113,10,4,24,29,33,35,7
2014/9/30,112,10,16,20,46,39,45,47
2014/9/28,111,10,28,6,35,26,12,24
2014/9/25,110,48,19,49,42,44,3,38
2014/9/23,109,13,28,43,41,12,20,23
2014/9/20,108,38,32,48,3,16,40,27
2014/9/18,107,45,25,16,27,6,20,29
2014/9/16,106,17,22,43,4,34,15,35
2014/9/13,105,43,48,3,12,40,49,32
2014/9/9,104,7,39,27,36,25,42,31
2014/9/4,103,11,34,36,43,14,46,1
2014/9/2,102,45,43,37,26,47,28,25
2014/8/30,101,15,27,18,24,49,39,6
2014/8/28,100,38,17,27,11,24,31,49
2014/8/26,99,44,33,25,37,32,29,47
2014/8/23,98,14,24,38,32,12,4,13
2014/8/21,97,31,10,30,14,29,26,18
2014/8/19,96,42,27,2,46,32,5,16
2014/8/16,95,42,27,37,23,26,46,15
2014/8/14,94,14,49,4,48,8,23,11
2014/8/12,93,27,39,31,9,7,36,32
2014/8/9,92,15,41,31,1,33,9,37
2014/8/7,91,46,32,14,31,36,5,11
2014/8/5,90,7,24,29,8,18,5,14
2014/8/2,89,42,23,48,26,22,3,28
2014/7/31,88,12,35,44,22,48,27,38
2014/7/29,87,11,13,31,37,15,47,19
2014/7/26,86,17,36,4,1,15,42,40
2014/7/24,85,38,4,31,36,5,21,14
2014/7/22,84,14,1,16,3,41,24,13
2014/7/19,83,48,41,30,9,40,1,49
2014/7/17,82,20,28,42,43,1,30,10
2014/7/15,81,41,32,9,42,2,5,44
2014/7/12,80,11,40,3,49,13,23,43
2014/7/10,79,17,25,1,9,22,2,8
2014/7/8,78,16,38,4,22,39,27,36
2014/7/5,77,36,32,10,38,14,37,47
2014/7/3,76,48,17,37,14,43,34,20
2014/6/29,75,15,23,46,38,47,26,21
2014/6/26,74,42,48,47,20,2,40,28
2014/6/24,73,30,31,25,35,18,24,36
2014/6/21,72,49,45,17,37,2,40,48
2014/6/19,71,30,31,24,44,3,17,7
2014/6/17,70,16,23,45,15,4,3,21
2014/6/12,69,3,44,21,18,41,45,15
2014/6/10,68,30,32,1,35,44,37,40
2014/6/7,67,4,8,44,13,19,48,27
2014/6/4,66,40,25,33,46,10,11,6
2014/6/2,65,39,3,19,13,36,20,15
2014/5/31,64,47,28,32,37,2,10,31
2014/5/29,63,48,4,26,24,14,19,35
2014/5/27,62,30,16,10,34,44,3,1
2014/5/24,61,41,2,14,4,39,30,49
2014/5/22,60,17,37,31,9,28,35,19
2014/5/20,59,10,33,16,44,34,47,6
2014/5/18,58,21,37,45,27,9,12,7
2014/5/15,57,16,12,24,9,35,34,7
2014/5/13,56,35,9,32,20,22,41,8
2014/5/11,55,26,38,45,49,16,11,5
2014/5/8,54,37,12,39,2,30,10,48
2014/5/6,53,10,33,23,39,36,44,30
2014/5/3,52,13,30,2,16,6,36,25
2014/5/1,51,28,37,1,14,29,43,30
2014/4/29,50,26,15,2,8,45,37,14
2014/4/26,49,47,9,12,36,27,22,46
2014/4/24,48,39,28,40,17,1,32,16
2014/4/22,47,29,1,41,12,3,36,14
2014/4/19,46,46,47,21,32,20,35,3
2014/4/17,45,24,14,12,45,17,23,42
2014/4/15,44,41,6,45,14,28,16,27
2014/4/12,43,43,45,18,20,28,6,13
2014/4/10,42,31,49,18,21,42,4,25
2014/4/8,41,24,47,45,11,31,46,6
2014/4/5,40,44,39,45,10,19,38,31
2014/4/3,39,25,26,4,28,27,9,3
2014/4/1,38,36,48,43,49,33,22,25
2014/3/29,37,18,24,10,33,12,2,11
2014/3/27,36,35,45,49,7,42,23,36
2014/3/25,35,36,22,35,44,28,45,6
2014/3/22,34,20,34,26,21,11,49,4
2014/3/20,33,1,37,9,48,18,25,14
2014/3/18,32,42,17,2,48,23,35,27
2014/3/15,31,29,46,2,24,21,15,27
2014/3/13,30,7,20,19,22,10,17,30
2014/3/11,29,33,30,28,6,15,4,27
2014/3/8,28,2,16,17,32,24,3,40
2014/3/6,27,46,39,27,6,10,20,38
2014/3/4,26,27,19,33,3,13,16,22
2014/3/2,25,21,46,16,19,11,38,34
2014/2/27,24,35,28,9,15,24,5,44
2014/2/25,23,8,43,40,39,41,26,5
2014/2/22,22,24,35,33,23,29,2,14
2014/2/20,21,26,31,5,24,3,40,45
2014/2/18,20,21,23,15,34,25,45,35
2014/2/15,19,2,32,30,36,14,45,11
2014/2/13,18,40,19,46,25,49,23,30
2014/2/11,17,29,24,7,27,25,10,19
2014/2/9,16,47,20,35,21,37,48,14
2014/2/6,15,37,26,27,32,33,45,39
2014/2/4,14,49,15,48,11,13,39,37
2014/1/30,13,26,36,16,3,2,4,45
